ID,SMILES,LOAEL [mg/kg_bw/day]
875,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,2.5
877,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)F)(C3=CN=CN=C3)O)Cl,2.5
878,c1ccc2nc(NC(=O)OC)n(C(=O)NCCCC)c2c1,115
879,CCOC(=O)COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],25
880,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O,25
881,CCNC(=O)NC(=O)C(=NOC)C#N,30.3
882,CCOC1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],40
883,CC1=NC=C(N1CCO)[N+](=O)[O-],150
884,O=C(N(SC(Cl)(Cl)Cl)C(=O)c1cccc2)c12,500
885,CC(C)(C)c2ccc(OC1CCCCC1OS(=O)OCC#C)cc2,100
886,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O,4.7
887,CC(C)(C)C(C(=CC1=C(C=C(C=C1)Cl)Cl)N2C=NC=N2)O,50
888,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.38
889,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,10
890,CC1=NN(C(=C1C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,3.08
891,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3,20
892,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,12.5
893,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,1.5
