"","StaticF","SemiF","ECFP6","DFS8","ECFP6+ToxF"
"CHEMBL1964002",0.815673176007715,0.885552239782965,0.875793239647429,0.858595776117218,0.886193718381467
"CHEMBL1909203",0.907115468235559,0.932052610693309,0.873314186753657,0.868312570114736,0.906568005582067
"CHEMBL1909136",0.807118049135629,0.842795652047693,0.797337154485938,0.828952473342903,0.823390405015711
"CHEMBL1964107",0.7638209371994,0.816250828318557,0.789289902173289,0.805148146589155,0.787847019595975
"CHEMBL1909210",0.86669240220919,0.938176834396794,0.883540592352776,0.917548126476064,0.885110391046876
"CHEMBL1794574",0.603989836346035,0.627855454272249,0.644859952152225,0.691426798508801,0.633009068214439
"CHEMBL1963757",0.750889056104022,0.799661168529006,0.758100132340262,0.77663789584407,0.777509545064822
"CHEMBL1738239",0.619631649454159,0.638055640784387,0.664560123439062,0.593707629526052,0.642326441553197
"CHEMBL1963690",0.673051080585327,0.679028840843909,0.630904356075589,0.640120140976305,0.632605711372835
"CHEMBL1964101",0.715309485721707,0.737090895402635,0.656663141434621,0.718909112257258,0.689939547345495
"CHEMBL1963715",0.699909966081953,0.713617527550396,0.729737514594125,0.718966001473499,0.752191918186209
"CHEMBL1909191",0.941859504158122,0.976898860013917,0.967574799910469,0.962824630750893,0.978118509437704
"CHEMBL1909201",0.950102646875269,0.936954807382532,0.878694349562581,0.921355834582709,0.851701172951204
"CHEMBL1909186",0.735283258494301,0.789123663585085,0.508244693109308,0.507601655865521,0.615860294736431
"CHEMBL1963746",0.715502853743051,0.737979286504996,0.722048930991019,0.716198816593082,0.729590802995026
"CHEMBL1963913",0.562678133929209,0.765300571515386,0.700998369028377,0.699414404642946,0.759542013133771
"CHEMBL1963701",0.677681773470398,0.727009186889888,0.716901097969888,0.685569257305433,0.71871375157557
