training set:,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,HDon_N,XlogP,TPSA,Dipole,NAtoms,2DACorr_SigChg_9,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_TotChg_1,2DACorr_TotChg_11,2DACorr_PiEN_8,2DACorr_PiEN_10
6,0.27,0.4375,0,2.82872,0,2.14928,11,0,0,0,0.340674,0,0,0
10,-0.55,0.1356,0,4.43481,43.86,3.32908,58,-0.06435,-0.018132,-0.020231,0.779896,0.125963,130.832,277.958
12,-0.01,0.2385,0,5.20228,43.86,3.37585,64,-0.044397,-0.018124,-0.020214,0.784748,0.133959,130.912,278.051
17,-0.06,0.3491,0,1.78066,0,0.149456,9,0,0,0,0.021113,0,0,0
22,0.97,0.6148,0,3.65964,0,0.0161015,20,0,0,0,0.0187021,0,0,0
25,0.6873,0.6926,0,4.23962,0,0.0093319,23,0,0,0,0.021687,0,0,0
26,0.74,0.718,0,4.46218,0,0.132835,24,0,0,0,0.0337903,0,0,0
27,0.86,0.69,0,4.21261,0,0.012896,23,0,0,0,0.0213042,0,0,0
30,0.52,0.8386,0,5.34555,0,0.0093331,29,0.0040457,0,0,0.0268894,0,0,0
31,0.96,0.7651,0,4.5012,0,0.132826,30,0.0110274,0,0,0.0389909,0,0,0
33,0.665,0.8195,0,4.83161,0,1.63E-06,32,0.0068229,0,0,0.0294897,0,0,0
34,1.05,0.8402,0,5.31854,0,0.0128963,29,0,0,0,0.0265067,0,0,0
35,1.02,0.784,0,4.89564,0,0.0372753,27,0,0,0,0.0225376,0,0,0
40,0.96,0.6396,0,3.84374,0,0.0131904,21,0,0,0,0.0178878,0,0,0
41,0.61,0.7757,0,4.4684,0,0.0140945,30,0,0,0,0.0247806,0,0,0
42,0.305,0.2833,0,1.25631,0,0.0011179,6,0,0,0,0.0213999,0,0,0
43,0.0297,0.3526,0,2.46858,0,1.67904,8,0,0,0,0.108771,0,0,0
45,0.37,0.4484,0,3.00177,0,0.0029331,6,0,0.0011518,0,0.085839,0,0,0
47,0.2063,0.2446,0,1.78227,9.23,1.84965,12,0,0,0,0.410003,0,0,0
49,0.2437,0.2988,0,2.0693,0,1.49304,5,0,0,0,0.107063,0,0,0
50,0.19,0.2648,0,2.10121,9.23,2.99175,12,0,0,0,0.613163,0,0,0
52,-0.1613,0.3276,0,1.97527,0,2.14683,8,0,0,0,0.293113,0,0,0
56,-0.226,0.2269,0,1.50044,0,1.82812,5,0,0,0,0.0629531,0,0,0
57,0.24,0.2648,0,2.10121,9.23,2.99178,12,0,0,0,0.613163,0,0,0
58,0.42,0.3074,0,2.0862,9.23,1.95396,12,0,0,0,0.614371,0,0,0
60,-0.02,0.2828,0,1.57011,0,1.28496,6,0,0.00074,0,0.146238,0,0,0
62,0.04,0.3702,0,2.24787,0,0.001684,6,0,0.0003143,0,0.0268191,0,0,0
